source_index,Molecule,Isomer,Metal,Medium,Molecular Charge,BalabanJ(m),BertzCT(m),Chi0(m),Chi0n(m),Chi0v(m),Chi1(m),Chi1n(m),Chi1v(m),Chi2n(m),Chi2v(m),Chi3n(m),Chi3v(m),Chi4n(m),Chi4v(m),EState_VSA1(m),EState_VSA10(m),EState_VSA8(m),EState_VSA9(m),ExactMolWt(m),FpDensityMorgan1(m),FpDensityMorgan2(m),FpDensityMorgan3(m),FractionCSP3(m),HallKierAlpha(m),HeavyAtomCount(m),HeavyAtomMolWt(m),Kappa1(m),Kappa2(m),Kappa3(m),LabuteASA(m),MaxAbsEStateIndex(m),MaxAbsPartialCharge(m),MaxEStateIndex(m),MaxPartialCharge(m),MinAbsEStateIndex(m),MinAbsPartialCharge(m),MinEStateIndex(m),MinPartialCharge(m),MolLogP(m),MolMR(m),MolWt(m),NHOHCount(m),NOCount(m),NumHAcceptors(m),NumHDonors(m),NumHeteroatoms(m),NumRotatableBonds(m),NumValenceElectrons(m),PEOE_VSA1(m),PEOE_VSA10(m),PEOE_VSA11(m),PEOE_VSA12(m),PEOE_VSA14(m),PEOE_VSA2(m),PEOE_VSA6(m),PEOE_VSA7(m),PEOE_VSA8(m),PEOE_VSA9(m),RingCount(m),SMR_VSA1(m),SMR_VSA10(m),SMR_VSA2(m),SMR_VSA3(m),SMR_VSA5(m),SMR_VSA6(m),SMR_VSA7(m),SlogP_VSA1(m),SlogP_VSA2(m),SlogP_VSA3(m),SlogP_VSA5(m),SlogP_VSA6(m),SlogP_VSA8(m),TPSA(m),VSA_EState1(m),VSA_EState2(m),VSA_EState3(m),VSA_EState4(m),VSA_EState5(m),VSA_EState6(m),VSA_EState7(m),VSA_EState8(m),qed(m),Atomic Number_metal,Outer shell electrons_metal,Melting Point_metal  (K),Boiling Point_metal  (K),Density_metal  (g/cm3),First IE_metal  (kJ/mol),Second IE_metal  (kJ/mol),Third IE_metal  (kJ/mol),Electron Affinity_metal  (kJ/mol),Atomic Radius_metal,Covalent Radius_metal,Pauling EN_metal,Ionic Radius_metal,Standard Entropy_metal (J/mol.K),Density_medium (kg/m3),Molar Mass_medium (g/mol),Melting Point_medium (K),Temperature (K),Concentration (M),Log K1
110,C10H16N2O8_1,12DiaminoethaneNNNNtetraethanoicacidSequestricacid,Nd+++,KCl   ,0,7.2039661525952,818.997641475345,29.2925287398839,25.1604135147108,9.16041351471082,15.9849229784979,11.8048407057107,4.27742035285537,2.54425710526098,2.54425710526098,1.21303607179888,1.21303607179888,0.604403429379471,0.604403429379471,72.2722019663741,19.1781487362873,20.4352327644288,22.2560683472891,292.090665472,0.8,1.15,1.45,0.6,-2.2,20,276.116,4.66972040452112,8.82491372780069,7.99933431952663,135.888800133245,12.02915794734,0.481175286820812,12.02915794734,0.320803094899433,1.34706089380197,0.320803094899433,-4.5873971324641,-0.481175286820812,-1.9786,63.3586,292.244,6,10,10,6,10,11,114,31.0548594710056,14.8594690933557,0.0,0.0,23.8772211518074,19.1781487362873,0.0,0.0,23.9597878179936,15.4873669149992,0,56.1446512190748,23.8772211518074,5.72479862893054,10.6196267065768,24.7816347393581,12.9937193686319,0.0,10.6196267065768,69.3419582215674,19.1781487362873,26.453435364361,0.0,5.72479862893054,173.26,119.038327532834,47.3870000517249,10.5307062090221,0.0,-10.0809043264536,-8.93587435437138,-8.59779418116088,-9.1747942649282,0.234105103485993,60,3,1289,3347,7.01,533.1,1034.3,2132.3,184.9,2.39,1.88,1.14,0.995,71.1,1984,74.6,1043,293,0.1,16.47
153,C10H16N2O8_1,12DiaminoethaneNNNNtetraethanoicacidSequestricacid,Nd+++,NaNO3 ,0,7.2039661525952,818.997641475345,29.2925287398839,25.1604135147108,9.16041351471082,15.9849229784979,11.8048407057107,4.27742035285537,2.54425710526098,2.54425710526098,1.21303607179888,1.21303607179888,0.604403429379471,0.604403429379471,72.2722019663741,19.1781487362873,20.4352327644288,22.2560683472891,292.090665472,0.8,1.15,1.45,0.6,-2.2,20,276.116,4.66972040452112,8.82491372780069,7.99933431952663,135.888800133245,12.02915794734,0.481175286820812,12.02915794734,0.320803094899433,1.34706089380197,0.320803094899433,-4.5873971324641,-0.481175286820812,-1.9786,63.3586,292.244,6,10,10,6,10,11,114,31.0548594710056,14.8594690933557,0.0,0.0,23.8772211518074,19.1781487362873,0.0,0.0,23.9597878179936,15.4873669149992,0,56.1446512190748,23.8772211518074,5.72479862893054,10.6196267065768,24.7816347393581,12.9937193686319,0.0,10.6196267065768,69.3419582215674,19.1781487362873,26.453435364361,0.0,5.72479862893054,173.26,119.038327532834,47.3870000517249,10.5307062090221,0.0,-10.0809043264536,-8.93587435437138,-8.59779418116088,-9.1747942649282,0.234105103485993,60,3,1289,3347,7.01,533.1,1034.3,2132.3,184.9,2.39,1.88,1.14,0.995,71.1,2257,85.0,581,298,0.5,16.0
190,C10H16N2O8_2,12DiaminoethaneNNdi14butanedioicacidCH2NHCHCOOHCH2COOH2,Nd+++,KNO3  ,0,7.70379586312185,754.997641475345,29.2925287398839,25.1604135147108,9.16041351471082,15.9075727093083,11.8576271102108,4.22463394835533,2.49147070076093,2.49147070076093,1.08596876492005,1.08596876492005,0.632853469982595,0.632853469982595,72.658198719404,19.1781487362873,20.4352327644288,22.1739013029732,292.090665472,0.7,0.95,1.15,0.6,-2.2,20,276.116,4.66972040452112,8.82491372780069,9.79185151652331,136.192629841959,11.8382537706568,0.480285663977319,11.8382537706568,0.317218118975639,1.32146352985639,0.317218118975639,-4.79792233560091,-0.480285663977319,-2.0712,63.4232,292.244,4,10,10,4,10,11,114,20.4352327644288,0.0,0.0,0.0,23.8772211518074,28.9779681979882,0.0,0.0,18.4767535933128,36.9535071866256,0,56.0624841747588,23.8772211518074,5.72479862893054,9.79981946170096,0.0,38.9811581058957,0.0,0.0,93.0934314838329,19.1781487362873,16.4491026740426,0.0,5.72479862893054,155.68,119.671348485369,44.7100880229145,13.1947516583411,0.0,-10.1202338960275,0.0,0.0,-27.2892876039305,0.333294737123963,60,3,1289,3347,7.01,533.1,1034.3,2132.3,184.9,2.39,1.88,1.14,0.995,71.1,2109,101.1,607,303,0.1,8.09
210,C10H16N5O13P3,Adenosine5triphosphoricacid,Nd+++,NaClO4,0,2.24697517627228,1655.74644473839,36.2338400397525,29.8849365400299,16.5682181130296,21.4066207762283,14.2914958674632,11.3293593937214,4.95951712743903,9.13176741575819,2.86768921729475,6.38258310796226,1.8483421304627,4.52356711908129,84.0595676472508,13.695144854794,57.897331442091,27.113813503214,506.995745462,1.12903225806452,1.87096774193548,2.54838709677419,0.5,-1.36,31,491.054,10.7122505271484,8.53221316282703,5.71434142075795,194.333991887702,13.073711162784,0.489542975730367,13.073711162784,0.489542975730367,0.044080038155037,0.387419475959204,-6.40884858951786,-0.387419475959204,-1.629,95.4757,507.182,8,18,18,7,21,15,174,40.2569659078167,32.8016436247729,20.4926769651957,8.58719794339581,23.4680913693965,9.09084680950317,0.0,0.0,0.0,21.0869082939038,3,75.1671562938615,40.4498320856155,8.58719794339581,19.519035210633,24.4440068907865,12.2787022186426,12.6067434279325,5.71971697572627,82.7056584560854,31.577017709553,17.1700212592983,12.6067434279325,11.163877938384,279.13,178.26226158158,24.2145647137432,8.16971238779747,-1.94618338838723,-0.827758073071736,0.0,-19.112636685292,-4.57652128212396,0.19742203378388,60,3,1289,3347,7.01,533.1,1034.3,2132.3,184.9,2.39,1.88,1.14,0.995,71.1,2499,122.4,403,293,0.2,7.16
275,C10H18N2O7,NHydroxyethyldiaminoethaneNNNtriethanoicacid,Nd+++,KNO3  ,0,7.81847088474462,852.919981471328,30.2151784706943,26.752165224247,8.75216522424696,16.2368524056532,12.6535029649788,4.0205098031234,2.30607529481163,2.30607529481163,1.04032521846128,1.04032521846128,0.587209923523831,0.587209923523831,73.2478786743685,14.3836115522155,20.4352327644288,24.9154184153136,278.111400916,0.842105263157895,1.31578947368421,1.78947368421053,0.7,-1.71,19,260.117,3.90213411315711,9.25064385289595,9.94393165993123,134.841048742251,11.9314604977921,0.480285801512334,11.9314604977921,0.317218118969275,1.33029761904762,0.317218118969275,-4.84188066893424,-0.480285801512334,-2.1635,62.8732,278.261,4,9,9,4,9,12,110,20.4352327644288,0.0,0.0,1.43119965723263,17.9079158638556,24.1834310139164,0.0,0.0,27.7151303899692,37.0156327452259,0,54.0094641030274,17.9079158638556,5.72479862893054,9.79981946170096,0.0,45.540143348812,0.0,0.0,95.11431109603,14.3836115522155,19.1906197863831,0.0,4.2935989716979,138.61,135.676068804065,33.0302912523417,13.3965401021137,0.0,-7.63044676975728,0.0,0.0,-31.7224533887629,0.33243038678915,60,3,1289,3347,7.01,533.1,1034.3,2132.3,184.9,2.39,1.88,1.14,0.995,71.1,2109,101.1,607,288,0.1,15.02
618,C11H18N2O8_1,12DiaminopropaneNNNNtetraethanoicacid,Nd+++,KNO3  ,0,8.36556402141923,915.193495743754,31.7925287398839,27.6604135147108,9.66041351471082,17.1575727093083,13.1076271102108,4.47463394835533,2.72827409963592,2.72827409963592,1.25367386323253,1.25367386323253,0.744656868857585,0.744656868857585,79.0311236207334,19.1781487362873,20.4352327644288,24.9154184153136,306.106315536,0.761904761904762,1.14285714285714,1.47619047619048,0.636363636363636,-2.2,21,288.127,4.64763272057676,8.86920415224913,9.35020621159835,145.367512956691,12.0648694169153,0.480285662982069,12.0648694169153,0.31722775886663,1.44708852985639,0.31722775886663,-5.11042233560091,-0.480285662982069,-1.6827,68.0182,306.271,4,10,10,4,10,12,120,20.4352327644288,0.0,0.0,0.0,23.8772211518074,28.9779681979882,0.0,6.85189211729568,20.7393034896869,36.9535071866256,0,58.8040012870993,23.8772211518074,5.72479862893054,9.79981946170096,12.8697845856453,32.4842984215797,0.0,0.0,92.6144642678666,19.1781487362873,26.0425119036788,0.0,5.72479862893054,155.68,136.865008963449,45.232422206588,13.2318477467765,0.0,-10.5756193835559,-5.11042233560091,0.0,-28.2265705309902,0.347330619560756,60,3,1289,3347,7.01,533.1,1034.3,2132.3,184.9,2.39,1.88,1.14,0.995,71.1,2109,101.1,607,298,0.1,15.49
1336,C14H22N2O8_1,trans12DiaminocyclohexaneNNNNtetraethanoicacid,Nd+++,KCl   ,0,5.10457898356529,1110.93608957519,37.2925287398839,33.1604135147108,11.1604135147108,20.1575727093083,16.1076271102108,5.47463394835533,3.46507749851091,3.46507749851091,1.90818236042001,1.90818236042001,1.26756706548255,1.26756706548255,97.191963892789,19.1781487362873,20.4352327644288,30.3984526399945,346.137615664001,0.708333333333333,1.0,1.25,0.714285714285714,-2.2,24,324.16,4.91626112883385,9.18250529255439,6.50478881618085,169.076390147023,12.4821571074545,0.480285546390165,12.4821571074545,0.317228112387459,1.61521352985639,0.317228112387459,-5.51458900226758,-0.480285546390165,-0.759999999999997,79.7332,346.336,4,10,10,4,10,10,136,20.4352327644288,0.0,0.0,0.0,23.8772211518074,28.9779681979882,12.7458498026588,12.7458498026588,25.7433704984015,36.9535071866256,1,64.2870355117802,23.8772211518074,5.72479862893054,9.79981946170096,37.5274845420168,25.9874387372638,0.0,0.0,92.1354970519003,19.1781487362873,50.1653536163815,0.0,5.72479862893054,155.68,176.715058172948,46.6982013701052,13.4737931360433,0.0,-11.2691001091795,-11.0291780045352,-19.7872534013606,-19.6348544973545,0.39630813279278,60,3,1289,3347,7.01,533.1,1034.3,2132.3,184.9,2.39,1.88,1.14,0.995,71.1,1984,74.6,1043,298,1.0,17.73
1337,C14H22N2O8_1,trans12DiaminocyclohexaneNNNNtetraethanoicacid,Nd+++,KCl   ,0,5.10457898356529,1110.93608957519,37.2925287398839,33.1604135147108,11.1604135147108,20.1575727093083,16.1076271102108,5.47463394835533,3.46507749851091,3.46507749851091,1.90818236042001,1.90818236042001,1.26756706548255,1.26756706548255,97.191963892789,19.1781487362873,20.4352327644288,30.3984526399945,346.137615664001,0.708333333333333,1.0,1.25,0.714285714285714,-2.2,24,324.16,4.91626112883385,9.18250529255439,6.50478881618085,169.076390147023,12.4821571074545,0.480285546390165,12.4821571074545,0.317228112387459,1.61521352985639,0.317228112387459,-5.51458900226758,-0.480285546390165,-0.759999999999997,79.7332,346.336,4,10,10,4,10,10,136,20.4352327644288,0.0,0.0,0.0,23.8772211518074,28.9779681979882,12.7458498026588,12.7458498026588,25.7433704984015,36.9535071866256,1,64.2870355117802,23.8772211518074,5.72479862893054,9.79981946170096,37.5274845420168,25.9874387372638,0.0,0.0,92.1354970519003,19.1781487362873,50.1653536163815,0.0,5.72479862893054,155.68,176.715058172948,46.6982013701052,13.4737931360433,0.0,-11.2691001091795,-11.0291780045352,-19.7872534013606,-19.6348544973545,0.39630813279278,60,3,1289,3347,7.01,533.1,1034.3,2132.3,184.9,2.39,1.88,1.14,0.995,71.1,1984,74.6,1043,298,1.0,17.73
1338,C14H22N2O8_1,trans12DiaminocyclohexaneNNNNtetraethanoicacid,Nd+++,KCl   ,0,5.10457898356529,1110.93608957519,37.2925287398839,33.1604135147108,11.1604135147108,20.1575727093083,16.1076271102108,5.47463394835533,3.46507749851091,3.46507749851091,1.90818236042001,1.90818236042001,1.26756706548255,1.26756706548255,97.191963892789,19.1781487362873,20.4352327644288,30.3984526399945,346.137615664001,0.708333333333333,1.0,1.25,0.714285714285714,-2.2,24,324.16,4.91626112883385,9.18250529255439,6.50478881618085,169.076390147023,12.4821571074545,0.480285546390165,12.4821571074545,0.317228112387459,1.61521352985639,0.317228112387459,-5.51458900226758,-0.480285546390165,-0.759999999999997,79.7332,346.336,4,10,10,4,10,10,136,20.4352327644288,0.0,0.0,0.0,23.8772211518074,28.9779681979882,12.7458498026588,12.7458498026588,25.7433704984015,36.9535071866256,1,64.2870355117802,23.8772211518074,5.72479862893054,9.79981946170096,37.5274845420168,25.9874387372638,0.0,0.0,92.1354970519003,19.1781487362873,50.1653536163815,0.0,5.72479862893054,155.68,176.715058172948,46.6982013701052,13.4737931360433,0.0,-11.2691001091795,-11.0291780045352,-19.7872534013606,-19.6348544973545,0.39630813279278,60,3,1289,3347,7.01,533.1,1034.3,2132.3,184.9,2.39,1.88,1.14,0.995,71.1,1984,74.6,1043,298,1.0,18.38
1499,C14H24N2O10_1,EthyleneglycolOObis2aminoethyletherNNNNtetraethanoicacid,Nd+++,KNO3  ,0,7.30773868952166,1139.94425975221,40.706742302257,35.9769100956385,11.9769100956385,21.8217862716814,17.1741236911385,5.54113052928305,3.10384313645673,3.10384313645673,1.37304666973617,1.37304666973617,0.762481812333536,0.762481812333536,98.8941396910692,19.1781487362873,29.9089586720289,33.1399697523349,380.143094968001,0.615384615384615,0.923076923076923,1.19230769230769,0.714285714285714,-2.28,26,356.158,5.60951960968287,13.9489499821967,15.2595733182518,183.119252759902,11.9309620651532,0.480285660503431,11.9309620651532,0.317218745666716,1.3571755465404,0.317218745666716,-4.81837121504938,-0.480285660503431,-2.03799999999999,85.0612000000001,380.35,4,12,12,4,12,17,150,29.9089586720289,0.0,0.0,0.0,23.8772211518074,28.9779681979882,0.0,0.0,18.4767535933128,74.1555166076524,0,76.5022785317206,23.8772211518074,5.72479862893054,9.79981946170096,0.0,65.2170990775608,0.0,0.0,119.329372455498,28.6518746438874,27.4151711234044,0.0,5.72479862893054,174.14,191.014849077965,45.0094971675319,13.1865421681188,0.0,-10.3192291316819,0.0,0.0,-46.7249926152668,0.203831430194709,60,3,1289,3347,7.01,533.1,1034.3,2132.3,184.9,2.39,1.88,1.14,0.995,71.1,2109,101.1,607,293,0.1,16.28
1512,C14H24N2O10_1,EthyleneglycolOObis2aminoethyletherNNNNtetraethanoicacid,Nd+++,NaNO3 ,0,7.30773868952166,1139.94425975221,40.706742302257,35.9769100956385,11.9769100956385,21.8217862716814,17.1741236911385,5.54113052928305,3.10384313645673,3.10384313645673,1.37304666973617,1.37304666973617,0.762481812333536,0.762481812333536,98.8941396910692,19.1781487362873,29.9089586720289,33.1399697523349,380.143094968001,0.615384615384615,0.923076923076923,1.19230769230769,0.714285714285714,-2.28,26,356.158,5.60951960968287,13.9489499821967,15.2595733182518,183.119252759902,11.9309620651532,0.480285660503431,11.9309620651532,0.317218745666716,1.3571755465404,0.317218745666716,-4.81837121504938,-0.480285660503431,-2.03799999999999,85.0612000000001,380.35,4,12,12,4,12,17,150,29.9089586720289,0.0,0.0,0.0,23.8772211518074,28.9779681979882,0.0,0.0,18.4767535933128,74.1555166076524,0,76.5022785317206,23.8772211518074,5.72479862893054,9.79981946170096,0.0,65.2170990775608,0.0,0.0,119.329372455498,28.6518746438874,27.4151711234044,0.0,5.72479862893054,174.14,191.014849077965,45.0094971675319,13.1865421681188,0.0,-10.3192291316819,0.0,0.0,-46.7249926152668,0.203831430194709,60,3,1289,3347,7.01,533.1,1034.3,2132.3,184.9,2.39,1.88,1.14,0.995,71.1,2257,85.0,581,298,0.1,16.08
1514,C14H24N2O10_1,EthyleneglycolOObis2aminoethyletherNNNNtetraethanoicacid,Nd+++,NaNO3 ,0,7.30773868952166,1139.94425975221,40.706742302257,35.9769100956385,11.9769100956385,21.8217862716814,17.1741236911385,5.54113052928305,3.10384313645673,3.10384313645673,1.37304666973617,1.37304666973617,0.762481812333536,0.762481812333536,98.8941396910692,19.1781487362873,29.9089586720289,33.1399697523349,380.143094968001,0.615384615384615,0.923076923076923,1.19230769230769,0.714285714285714,-2.28,26,356.158,5.60951960968287,13.9489499821967,15.2595733182518,183.119252759902,11.9309620651532,0.480285660503431,11.9309620651532,0.317218745666716,1.3571755465404,0.317218745666716,-4.81837121504938,-0.480285660503431,-2.03799999999999,85.0612000000001,380.35,4,12,12,4,12,17,150,29.9089586720289,0.0,0.0,0.0,23.8772211518074,28.9779681979882,0.0,0.0,18.4767535933128,74.1555166076524,0,76.5022785317206,23.8772211518074,5.72479862893054,9.79981946170096,0.0,65.2170990775608,0.0,0.0,119.329372455498,28.6518746438874,27.4151711234044,0.0,5.72479862893054,174.14,191.014849077965,45.0094971675319,13.1865421681188,0.0,-10.3192291316819,0.0,0.0,-46.7249926152668,0.203831430194709,60,3,1289,3347,7.01,533.1,1034.3,2132.3,184.9,2.39,1.88,1.14,0.995,71.1,2257,85.0,581,298,0.1,16.08
2154,C18H30N4O12,TriethylenetetraaminehexaethanoicacidHOOCCH22NCH2CH2NCH2COOHCH22,Nd+++,KNO3  ,0,9.45677124312915,1614.98962281911,52.0161433790156,45.6878338675662,15.6878338675662,28.1023844677468,21.8322610585661,7.38277131578293,4.40802644439134,4.40802644439134,2.03936334400504,2.03936334400504,1.18313275413013,1.18313275413013,133.377786862904,28.7672231044309,30.6528491466433,41.4854032914811,494.186022400001,0.411764705882353,0.588235294117647,0.794117647058823,0.666666666666667,-3.34,34,464.214,7.57788387632724,16.3004584624764,17.2431997783013,236.386273320622,12.774135109681,0.48028580497401,12.774135109681,0.317218118969234,1.68778225644072,0.317218118969234,-5.7771097096246,-0.48028580497401,-3.29799999999999,111.5748,494.454,6,16,16,6,16,21,194,30.6528491466433,0.0,0.0,0.0,35.8158317277111,48.3668620278328,0.0,0.0,55.4302607799384,55.4302607799384,0,92.3182775991594,35.8158317277111,8.58719794339581,19.5996389234019,0.0,77.9623162117913,0.0,0.0,164.030636009548,28.7672231044309,32.8982053480853,0.0,8.58719794339581,236.76,239.876736087175,67.7479934911632,19.8369948937913,0.0,-17.5793244091117,0.0,0.0,-63.8824000630179,0.091572993842189,60,3,1289,3347,7.01,533.1,1034.3,2132.3,184.9,2.39,1.88,1.14,0.995,71.1,2109,101.1,607,298,0.1,16.6
2660,C2H4O2,EthanoicacidCH3COOH,Nd+++,NaClO4,0,3.82337845522092,94.7016576673414,6.78445705037617,5.81649658092773,1.81649658092773,3.48138047543485,2.56649658092773,0.658248290463863,0.287457478565265,0.287457478565265,0.0,0.0,0.0,0.0,12.8211974052475,4.79453718407182,5.10880819110721,5.54347532574329,60.021129368,2.75,3.5,3.5,0.5,-0.53,4,56.02,0.505725462185476,0.874858299595141,1.15600925596297,29.7665012532644,9.86111111111111,0.481433475172105,9.86111111111111,0.299684553158214,1.50231481481481,0.299684553158214,-2.78993055555556,-0.481433475172105,0.0909,13.3098,60.052,1,2,2,1,2,1,24,5.10880819110721,0.0,0.0,0.0,0.0,4.79453718407182,0.0,0.0,10.9641677858063,0.0,0,14.0156210436897,5.96930528795185,1.43119965723263,0.0,6.85189211729568,0.0,0.0,0.0,11.0781134790591,4.79453718407182,10.9641677858063,0.0,1.43119965723263,37.3,24.6846064814815,9.86111111111111,3.16319444444444,0.0,-1.50231481481481,0.0,0.0,-2.78993055555556,0.429882883200122,60,3,1289,3347,7.01,533.1,1034.3,2132.3,184.9,2.39,1.88,1.14,0.995,71.1,2499,122.4,403,293,0.1,2.22
2663,C2H4O2,EthanoicacidCH3COOH,Nd+++,NaClO4,0,3.82337845522092,94.7016576673414,6.78445705037617,5.81649658092773,1.81649658092773,3.48138047543485,2.56649658092773,0.658248290463863,0.287457478565265,0.287457478565265,0.0,0.0,0.0,0.0,12.8211974052475,4.79453718407182,5.10880819110721,5.54347532574329,60.021129368,2.75,3.5,3.5,0.5,-0.53,4,56.02,0.505725462185476,0.874858299595141,1.15600925596297,29.7665012532644,9.86111111111111,0.481433475172105,9.86111111111111,0.299684553158214,1.50231481481481,0.299684553158214,-2.78993055555556,-0.481433475172105,0.0909,13.3098,60.052,1,2,2,1,2,1,24,5.10880819110721,0.0,0.0,0.0,0.0,4.79453718407182,0.0,0.0,10.9641677858063,0.0,0,14.0156210436897,5.96930528795185,1.43119965723263,0.0,6.85189211729568,0.0,0.0,0.0,11.0781134790591,4.79453718407182,10.9641677858063,0.0,1.43119965723263,37.3,24.6846064814815,9.86111111111111,3.16319444444444,0.0,-1.50231481481481,0.0,0.0,-2.78993055555556,0.429882883200122,60,3,1289,3347,7.01,533.1,1034.3,2132.3,184.9,2.39,1.88,1.14,0.995,71.1,2499,122.4,403,294,2.0,1.93
2664,C2H4O2,EthanoicacidCH3COOH,Nd+++,NaClO4,0,3.82337845522092,94.7016576673414,6.78445705037617,5.81649658092773,1.81649658092773,3.48138047543485,2.56649658092773,0.658248290463863,0.287457478565265,0.287457478565265,0.0,0.0,0.0,0.0,12.8211974052475,4.79453718407182,5.10880819110721,5.54347532574329,60.021129368,2.75,3.5,3.5,0.5,-0.53,4,56.02,0.505725462185476,0.874858299595141,1.15600925596297,29.7665012532644,9.86111111111111,0.481433475172105,9.86111111111111,0.299684553158214,1.50231481481481,0.299684553158214,-2.78993055555556,-0.481433475172105,0.0909,13.3098,60.052,1,2,2,1,2,1,24,5.10880819110721,0.0,0.0,0.0,0.0,4.79453718407182,0.0,0.0,10.9641677858063,0.0,0,14.0156210436897,5.96930528795185,1.43119965723263,0.0,6.85189211729568,0.0,0.0,0.0,11.0781134790591,4.79453718407182,10.9641677858063,0.0,1.43119965723263,37.3,24.6846064814815,9.86111111111111,3.16319444444444,0.0,-1.50231481481481,0.0,0.0,-2.78993055555556,0.429882883200122,60,3,1289,3347,7.01,533.1,1034.3,2132.3,184.9,2.39,1.88,1.14,0.995,71.1,2499,122.4,403,298,2.0,1.83
2680,C2H4O2,EthanoicacidCH3COOH,Nd+++,NaCl  ,0,3.82337845522092,94.7016576673414,6.78445705037617,5.81649658092773,1.81649658092773,3.48138047543485,2.56649658092773,0.658248290463863,0.287457478565265,0.287457478565265,0.0,0.0,0.0,0.0,12.8211974052475,4.79453718407182,5.10880819110721,5.54347532574329,60.021129368,2.75,3.5,3.5,0.5,-0.53,4,56.02,0.505725462185476,0.874858299595141,1.15600925596297,29.7665012532644,9.86111111111111,0.481433475172105,9.86111111111111,0.299684553158214,1.50231481481481,0.299684553158214,-2.78993055555556,-0.481433475172105,0.0909,13.3098,60.052,1,2,2,1,2,1,24,5.10880819110721,0.0,0.0,0.0,0.0,4.79453718407182,0.0,0.0,10.9641677858063,0.0,0,14.0156210436897,5.96930528795185,1.43119965723263,0.0,6.85189211729568,0.0,0.0,0.0,11.0781134790591,4.79453718407182,10.9641677858063,0.0,1.43119965723263,37.3,24.6846064814815,9.86111111111111,3.16319444444444,0.0,-1.50231481481481,0.0,0.0,-2.78993055555556,0.429882883200122,60,3,1289,3347,7.01,533.1,1034.3,2132.3,184.9,2.39,1.88,1.14,0.995,71.1,2165,58.4,1074,298,0.1,2.1
2738,C2H4O3,2HydroxyethanoicacidHOCH2COOH,Nd+++,NaClO4,0,3.97053911698258,112.38037532843,7.49156383156272,6.22474487139159,2.22474487139159,4.04204064721467,2.67886901662352,0.862372435695795,0.389519551181231,0.389519551181231,0.083333333333333,0.083333333333333,0.0,0.0,12.5282905308681,4.79453718407182,10.2176163822144,5.60391642680571,76.016043988,2.4,3.2,3.4,0.5,-0.57,5,72.019,0.94409204617706,1.72154518950437,3.43,34.6474052635877,10.0348611111111,0.479540775469483,10.0348611111111,0.328849903557252,1.54398148148148,0.328849903557252,-2.83159722222222,-0.479540775469483,-0.9367,14.7216,76.051,2,3,3,2,3,2,30,10.2176163822144,6.55898524291629,0.0,1.43119965723263,5.96930528795185,0.0,0.0,0.0,0.0,2.74151711234044,0,17.7536706786267,5.96930528795185,2.86239931446527,0.0,0.0,6.55898524291629,0.0,0.0,24.1771065703152,4.79453718407182,2.74151711234044,0.0,1.43119965723263,57.53,24.7813194444444,10.0348611111111,6.47606481481482,0.0,-1.54398148148148,0.0,0.0,-2.83159722222222,0.423614075125504,60,3,1289,3347,7.01,533.1,1034.3,2132.3,184.9,2.39,1.88,1.14,0.995,71.1,2499,122.4,403,293,0.1,2.89
2740,C2H4O3,2HydroxyethanoicacidHOCH2COOH,Nd+++,NaClO4,0,3.97053911698258,112.38037532843,7.49156383156272,6.22474487139159,2.22474487139159,4.04204064721467,2.67886901662352,0.862372435695795,0.389519551181231,0.389519551181231,0.083333333333333,0.083333333333333,0.0,0.0,12.5282905308681,4.79453718407182,10.2176163822144,5.60391642680571,76.016043988,2.4,3.2,3.4,0.5,-0.57,5,72.019,0.94409204617706,1.72154518950437,3.43,34.6474052635877,10.0348611111111,0.479540775469483,10.0348611111111,0.328849903557252,1.54398148148148,0.328849903557252,-2.83159722222222,-0.479540775469483,-0.9367,14.7216,76.051,2,3,3,2,3,2,30,10.2176163822144,6.55898524291629,0.0,1.43119965723263,5.96930528795185,0.0,0.0,0.0,0.0,2.74151711234044,0,17.7536706786267,5.96930528795185,2.86239931446527,0.0,0.0,6.55898524291629,0.0,0.0,24.1771065703152,4.79453718407182,2.74151711234044,0.0,1.43119965723263,57.53,24.7813194444444,10.0348611111111,6.47606481481482,0.0,-1.54398148148148,0.0,0.0,-2.83159722222222,0.423614075125504,60,3,1289,3347,7.01,533.1,1034.3,2132.3,184.9,2.39,1.88,1.14,0.995,71.1,2499,122.4,403,298,2.0,2.15
